,part_number,x_actual,y_actual
0,1,218.97,136.99
1,2,219.0,137.01
2,3,218.95,136.98
3,4,218.99,137.0
4,5,219.05,137.01
5,6,218.99,136.96
6,7,218.99,136.96
7,8,219.0,137.0
8,9,219.01,136.95
9,10,219.01,136.95
10,11,218.99,136.97
11,12,218.98,136.98
12,13,219.0,137.04
13,14,218.99,137.01
14,15,219.02,137.02
15,16,218.96,136.95
16,17,218.97,137.01
17,18,218.98,136.96
18,19,219.03,136.98
19,20,219.05,136.96
20,21,219.07,136.92
21,22,219.08,136.98
22,23,218.94,137.01
23,24,219.02,136.98
24,25,218.98,137.0
25,26,219.02,136.96
26,27,218.95,136.93
27,28,219.02,136.92
28,29,219.03,136.96
29,30,219.03,136.95
30,31,219.03,136.99
31,32,219.01,136.92
32,33,219.02,136.95
33,34,218.99,137.05
34,35,218.99,137.01
35,36,219.08,136.94
36,37,218.98,136.92
37,38,218.99,136.98
38,39,219.03,136.98
39,40,219.02,136.98
40,41,219.02,136.91
41,42,219.0,137.01
42,43,218.93,137.01
43,44,219.05,136.94
44,45,219.01,136.94
45,46,219.04,136.9
46,47,218.98,136.99
47,48,219.01,136.98
48,49,219.04,136.96
49,50,219.03,136.99
50,51,219.05,137.0
51,52,219.01,137.03
52,53,219.06,136.96
53,54,219.04,136.96
54,55,219.08,137.0
55,56,219.08,137.02
56,57,218.99,137.04
57,58,218.99,136.97
58,59,219.03,136.98
59,60,218.91,136.98
60,61,218.96,137.01
61,62,219.01,136.96
62,63,219.01,137.0
63,64,218.96,137.02
64,65,219.05,136.95
65,66,218.97,137.0
66,67,219.0,137.0
67,68,218.96,137.04
68,69,218.98,136.99
69,70,219.01,137.01
70,71,219.0,137.05
71,72,218.99,136.97
72,73,219.05,137.0
73,74,218.97,136.96
74,75,219.09,136.82
75,76,218.96,137.08
76,77,219.01,137.06
77,78,219.02,136.91
78,79,218.98,137.02
79,80,218.96,136.96
80,81,218.96,136.95
81,82,219.0,136.97
82,83,218.99,136.97
83,84,219.0,136.97
84,85,219.04,136.95
85,86,219.0,136.99
86,87,218.96,136.99
87,88,219.0,137.02
88,89,218.95,137.03
89,90,219.04,137.01
90,91,218.93,137.04
91,92,218.98,136.97
92,93,218.97,136.99
93,94,218.95,137.05
94,95,218.99,137.01
95,96,218.99,136.99
96,97,218.98,136.97
97,98,218.99,136.98
98,99,219.01,137.02
99,100,219.01,137.03
100,101,219.02,137.02
101,102,219.04,136.96
102,103,218.93,136.96
103,104,218.9,136.99
104,105,218.97,136.97
105,106,218.88,137.06
106,107,218.96,136.97
107,108,218.92,136.96
108,109,218.96,136.99
109,110,218.96,136.96
110,111,218.93,137.04
111,112,219.05,136.93
112,113,218.98,136.93
113,114,218.99,137.02
114,115,218.98,137.01
115,116,218.92,136.99
116,117,218.96,136.94
117,118,218.96,137.06
118,119,218.92,136.96
119,120,218.98,136.99
120,121,218.97,137.01
121,122,218.96,137.0
122,123,219.0,137.04
123,124,218.92,137.0
124,125,219.0,137.0
125,126,218.97,137.02
126,127,218.97,137.01
127,128,219.01,136.99
128,129,219.06,137.02
129,130,219.0,137.0
130,131,219.01,137.03
131,132,219.03,136.99
132,133,218.98,136.98
133,134,218.95,136.97
134,135,218.89,137.01
135,136,218.93,136.98
136,137,218.98,136.93
137,138,218.89,137.0
138,139,218.91,136.92
139,140,218.88,136.98
140,141,218.94,137.02
141,142,218.96,136.96
142,143,218.98,136.96
143,144,218.99,137.01
144,145,218.96,136.98
145,146,218.87,136.96
146,147,218.91,136.99
147,148,218.91,136.97
148,149,218.98,136.95
149,150,218.91,136.99
150,151,218.96,136.97
151,152,218.97,136.9
152,153,218.91,136.95
153,154,218.85,137.0
154,155,218.93,136.97
155,156,218.98,136.98
156,157,218.88,136.94
157,158,218.85,136.97
158,159,218.93,136.92
159,160,218.84,136.97
160,161,218.92,136.94
161,162,219.0,137.0
162,163,218.93,136.91
163,164,218.97,136.93
164,165,218.97,136.93
165,166,218.95,136.93
166,167,218.96,137.01
167,168,219.04,137.02
168,169,219.04,137.02
169,170,219.0,137.01
170,171,219.05,137.06
171,172,219.02,137.02
172,173,219.08,137.04
173,174,219.01,137.07
174,175,219.03,137.05
175,176,219.0,137.05
176,177,219.06,137.06
177,178,218.95,137.01
178,179,219.06,137.02
179,180,219.05,137.01
180,181,219.0,137.04
181,182,219.02,137.05
182,183,219.05,137.06
183,184,218.99,137.01
184,185,219.03,137.02
185,186,219.0,137.08
186,187,219.0,137.06
187,188,219.02,137.04
188,189,219.03,137.07
189,190,219.03,137.05
190,191,218.99,137.06
191,192,219.05,137.05
192,193,218.98,137.04
193,194,219.05,137.04
194,195,219.11,137.07
195,196,218.98,137.02
196,197,219.04,137.01
197,198,219.05,137.0
198,199,219.05,137.01
199,200,219.08,137.08
